Id,MS SubClass,MS Zoning,Lot Area,Lot Shape,Land Contour,Neighborhood,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Matl,Exterior 1st,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Area,Wood Deck SF,Open Porch SF,Screen Porch,Pool QC,SalePrice,1st Flr SF + 2nd Flr SF,Lot Area_sqrt,Gr Liv Area_sqrt,1st Flr SF_sqrt,2nd Flr SF_sqrt,Mas Vnr Area_sqrt,Total Bsmt SF_sqrt,Garage Area_sqrt
109,60,RL,13517,IR1,Lvl,Sawyer,2Story,6,8,1976,2005,CompShg,HdBoard,BrkFace,289.0,Gd,TA,CBlock,TA,TA,533.0,192.0,725.0,Ex,Y,725,754,1479,0.0,2,1,3,Gd,6,0,475.0,0,44,0,No Feature,130500.0,1479,116.26263372210352,38.45776904605882,26.92582403567252,27.459060435491963,17.0,26.92582403567252,21.79449471770337
544,60,RL,11492,IR1,Lvl,SawyerW,2Story,7,5,1996,1997,CompShg,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,637.0,276.0,913.0,Ex,Y,913,1209,2122,1.0,2,1,4,Gd,8,1,559.0,0,74,0,No Feature,220000.0,2122,107.20074626605917,46.06517122512408,30.215889859476256,34.77067730142742,11.489125293076057,30.215889859476256,23.643180835073778
153,20,RL,7922,Reg,Lvl,NAmes,1Story,5,7,1953,2007,CompShg,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,731.0,326.0,1057.0,TA,Y,1057,0,1057,1.0,1,0,3,Gd,5,0,246.0,0,52,0,No Feature,109000.0,1057,89.00561780022652,32.51153641401772,32.51153641401772,0.0,0.0,32.51153641401772,15.684387141358123
318,60,RL,9802,Reg,Lvl,Timber,2Story,5,5,2006,2007,CompShg,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,0.0,384.0,384.0,Gd,Y,744,700,1444,0.0,2,1,3,TA,7,0,400.0,100,0,0,No Feature,174000.0,1444,99.00505037623081,38.0,27.27636339397171,26.457513110645905,0.0,19.595917942265423,20.0
255,50,RL,14235,IR1,Lvl,SawyerW,1.5Fin,6,8,1900,1993,CompShg,Wd Sdng,None,0.0,TA,TA,PConc,Fa,Gd,0.0,676.0,676.0,TA,Y,831,614,1445,0.0,2,0,3,TA,6,0,484.0,0,59,0,No Feature,138500.0,1445,119.31051923447488,38.01315561749642,28.827070610799147,24.779023386727733,0.0,26.0,22.0
138,20,RL,16492,IR1,Lvl,NAmes,1Story,6,6,1966,2002,CompShg,BrkFace,None,0.0,Gd,TA,CBlock,TA,TA,247.0,557.0,1517.0,Ex,Y,1888,0,1888,0.0,2,1,2,Gd,6,1,578.0,0,0,0,No Feature,190000.0,1888,128.42118205342916,43.45112196480086,43.45112196480086,0.0,0.0,38.948684188300895,24.041630560342615
2827,180,RM,3675,Reg,Lvl,Edwards,SFoyer,6,5,2005,2006,CompShg,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,547.0,0.0,547.0,Gd,Y,1072,0,1072,1.0,2,0,2,TA,5,0,525.0,0,44,0,No Feature,140000.0,1072,60.6217782649107,32.7414110874898,32.7414110874898,0.0,9.055385138137417,23.388031127053,22.9128784747792
145,20,RL,12160,IR1,Lvl,NAmes,1Story,5,5,1959,1959,CompShg,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,1000.0,188.0,1188.0,Fa,Y,1188,0,1188,1.0,1,0,3,TA,6,0,531.0,0,0,0,No Feature,142000.0,1188,110.27239001672177,34.46737587922817,34.46737587922817,0.0,13.416407864998739,34.46737587922817,23.043437243605826
1942,20,RL,15783,Reg,Lvl,OldTown,1Story,5,5,1952,1952,CompShg,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,292.0,632.0,924.0,TA,Y,924,0,924,0.0,1,0,2,TA,6,0,420.0,0,324,0,No Feature,112500.0,924,125.63041033125698,30.397368307141328,30.397368307141328,0.0,0.0,30.397368307141328,20.493901531919196
1956,60,RL,11606,IR1,HLS,NAmes,2Story,5,5,1969,1969,CompShg,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,650.0,390.0,1040.0,TA,Y,1040,1040,2080,0.0,1,2,5,Fa,9,2,504.0,335,0,0,No Feature,135000.0,2080,107.73114684249862,45.60701700396552,32.2490309931942,32.2490309931942,13.856406460551018,32.2490309931942,22.44994432064365
1044,160,RM,1680,Reg,Lvl,BrDale,2Story,6,5,1971,1971,CompShg,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,387.0,96.0,483.0,TA,Y,483,504,987,0.0,1,1,2,TA,4,0,264.0,0,0,0,No Feature,85400.0,987,40.98780306383839,31.416556144810016,21.97726097583591,22.44994432064365,15.231546211727817,21.97726097583591,16.24807680927192
2752,20,RL,7488,IR1,Lvl,CollgCr,1Story,7,5,2005,2005,CompShg,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,393.0,815.0,1208.0,Ex,Y,1208,0,1208,0.0,2,0,2,Gd,6,0,632.0,105,58,0,No Feature,183600.0,1208,86.53323061113575,34.75629439396553,34.75629439396553,0.0,0.0,34.75629439396553,25.13961017995307
807,70,RL,26400,Reg,Bnk,SawyerW,2Story,5,7,1880,2007,CompShg,HdBoard,None,0.0,Gd,TA,PConc,No Feature,No Feature,0.0,0.0,0.0,Ex,Y,1288,728,2016,0.0,1,0,4,TA,7,1,576.0,0,0,0,No Feature,131000.0,2016,162.48076809271922,44.8998886412873,35.888716889852724,26.981475126464083,0.0,0.0,24.0
